Timestamp,Temperature_F,Temperature_C,Humidity_Percent,Pressure_hPa,Corrected_Pressure,WindSpeed_mph,WindSpeed_m/s
2025-03-14T12:00:40Z,70.96,21.64444444444444,92.6,1020.51,1020.51,2.93,1.3098272
2025-03-14T12:00:50Z,50.73,10.405555555555553,24.5,1022.57,1022.57,15.38,6.8754752
2025-03-14T12:01:30Z,30.08,-1.0666666666666675,26.1,1018.44,1024.73,26.52,11.8555008
2025-03-14T12:01:50Z,75.44,24.133333333333333,93.2,1026.0,1026.0,26.86,12.007494399999999
2025-03-14T12:02:20Z,84.86,29.366666666666667,24.8,1019.42,1017.8925,15.85,7.085584
2025-03-14T12:03:00Z,99.45,37.47222222222222,24.6,994.09,994.09,28.03,12.5305312
2025-03-14T12:03:30Z,81.86,27.700000000000003,95.1,1007.05,1007.05,18.53,8.2836512
2025-03-14T12:03:50Z,75.22,24.01111111111111,20.7,1044.1,1044.1,22.23,9.9376992
2025-03-14T12:04:00Z,73.19,22.883333333333333,26.3,1049.68,1049.68,21.35,9.544304
2025-03-14T12:05:20Z,49.33,9.627777777777776,98.3,1045.0,1045.0,21.12,9.4414848
2025-03-14T12:06:10Z,20.48,-6.3999999999999995,27.1,1009.49,1037.885,9.32,4.1664128
2025-03-14T12:09:20Z,63.34,17.41111111111111,99.5,1006.73,1006.0733333333333,21.23,9.4906592
2025-03-14T12:10:30Z,66.93,19.40555555555556,23.1,1004.97,1004.97,11.88,5.3108352000000005
2025-03-14T12:10:40Z,33.67,0.9277777777777787,92.8,1004.41,1004.41,16.58,7.4119231999999995
2025-03-14T12:11:00Z,22.33,-5.372222222222224,90.6,1017.48,1017.48,6.98,3.1203392
2025-03-14T12:11:40Z,44.43,6.905555555555555,20.2,1006.08,1001.25,22.87,10.2238048
2025-03-14T12:12:00Z,87.2,30.666666666666668,23.5,984.19,984.19,17.97,8.033308799999999
2025-03-14T12:12:10Z,57.67,14.261111111111113,96.4,997.35,990.7270000000001,8.24,3.6836096
2025-03-14T12:13:00Z,68.82,20.455555555555552,25.2,1034.73,1023.412,15.29,6.8352416
2025-03-14T12:13:10Z,70.28,21.266666666666666,99.2,991.98,1029.949,15.69,7.014057599999999
2025-03-14T12:13:30Z,64.0,17.77777777777778,98.8,1047.39,1043.023,19.67,8.793276800000001
2025-03-14T12:14:40Z,97.92,36.62222222222223,24.8,1049.71,1034.6399999999999,22.59,10.0986336
2025-03-14T12:15:00Z,68.43,20.238888888888894,21.2,1022.17,1031.8533333333335,6.73,3.0085792000000002
2025-03-14T12:15:10Z,42.26,5.699999999999999,20.1,1030.46,1030.46,25.54,11.4174016
2025-03-14T12:15:20Z,27.27,-2.627777777777778,94.9,1029.4,1029.4,25.97,11.6096288
2025-03-14T12:16:30Z,32.52,0.28888888888889064,27.0,1048.39,1011.6385714285715,13.05,5.833872
2025-03-14T12:16:40Z,68.38,20.21111111111111,93.0,1014.82,1015.3714285714285,28.95,12.941808
2025-03-14T12:19:00Z,84.0,28.88888888888889,91.2,984.78,1021.6766666666666,6.54,2.9236416
2025-03-14T12:19:40Z,32.3,0.16666666666666508,92.7,1006.56,1006.56,20.26,9.0570304
2025-03-14T12:19:50Z,64.36,17.977777777777778,24.1,981.03,998.625,8.25,3.68808
