Timestamp,Pressure_hPa,Previous_Pressure,Difference
2025-03-14T12:00:20Z,1033.98,998.46,35.51999999999998
2025-03-14T12:01:20Z,993.18,1029.29,36.110000000000014
2025-03-14T12:01:30Z,1018.44,993.18,25.260000000000105
2025-03-14T12:02:00Z,992.53,1026.0,33.47000000000003
2025-03-14T12:02:10Z,980.5,992.53,12.029999999999973
2025-03-14T12:02:20Z,1019.42,980.5,38.91999999999996
2025-03-14T12:02:40Z,1039.46,1015.19,24.269999999999982
2025-03-14T12:02:50Z,995.69,1039.46,43.76999999999998
2025-03-14T12:03:10Z,1012.87,994.09,18.779999999999973
2025-03-14T12:03:40Z,1049.84,1007.05,42.789999999999964
2025-03-14T12:04:10Z,1010.23,1049.68,39.450000000000045
2025-03-14T12:04:30Z,985.78,1010.05,24.269999999999982
2025-03-14T12:04:40Z,1036.3,985.78,50.51999999999998
2025-03-14T12:04:50Z,996.77,1036.3,39.52999999999997
2025-03-14T12:05:10Z,1044.63,993.07,51.56000000000006
2025-03-14T12:05:40Z,987.81,1046.7,58.8900000000001
2025-03-14T12:05:50Z,1019.35,987.81,31.540000000000077
2025-03-14T12:06:00Z,984.4,1019.35,34.950000000000045
2025-03-14T12:06:10Z,1009.49,984.4,25.090000000000032
2025-03-14T12:06:20Z,988.24,1009.49,21.25
2025-03-14T12:06:30Z,1045.31,988.24,57.069999999999936
2025-03-14T12:06:40Z,1016.79,1045.31,28.519999999999982
2025-03-14T12:06:50Z,992.64,1016.79,24.149999999999977
2025-03-14T12:07:00Z,1026.88,992.64,34.24000000000012
2025-03-14T12:07:10Z,1047.72,1026.88,20.839999999999918
2025-03-14T12:07:20Z,1028.57,1047.72,19.15000000000009
2025-03-14T12:07:30Z,982.14,1028.57,46.42999999999995
2025-03-14T12:07:40Z,1046.62,982.14,64.4799999999999
2025-03-14T12:07:50Z,985.71,1046.62,60.909999999999854
2025-03-14T12:08:00Z,1014.34,985.71,28.629999999999995
2025-03-14T12:08:40Z,987.23,1012.64,25.409999999999968
2025-03-14T12:08:50Z,1032.18,987.23,44.950000000000045
2025-03-14T12:09:00Z,1021.41,1032.18,10.770000000000095
2025-03-14T12:09:10Z,992.56,1021.41,28.850000000000023
2025-03-14T12:09:20Z,1006.73,992.56,14.170000000000073
2025-03-14T12:09:50Z,1035.81,999.05,36.75999999999999
2025-03-14T12:10:00Z,1003.04,1035.81,32.76999999999998
2025-03-14T12:10:10Z,1038.85,1003.04,35.809999999999945
2025-03-14T12:10:20Z,1002.14,1038.85,36.70999999999992
2025-03-14T12:10:50Z,1024.41,1004.41,20.000000000000114
2025-03-14T12:11:20Z,1043.55,1026.84,16.710000000000036
2025-03-14T12:11:30Z,992.99,1043.55,50.559999999999945
2025-03-14T12:11:40Z,1006.08,992.99,13.090000000000032
2025-03-14T12:11:50Z,982.26,1006.08,23.82000000000005
2025-03-14T12:12:10Z,997.35,984.19,13.159999999999968
2025-03-14T12:12:20Z,1036.55,997.35,39.19999999999993
2025-03-14T12:12:30Z,1012.7,1036.55,23.84999999999991
2025-03-14T12:12:40Z,1047.65,1012.7,34.950000000000045
2025-03-14T12:12:50Z,988.6,1047.65,59.05000000000007
2025-03-14T12:13:00Z,1034.73,988.6,46.129999999999995
2025-03-14T12:13:10Z,991.98,1034.73,42.75
2025-03-14T12:13:20Z,1025.38,991.98,33.40000000000009
2025-03-14T12:13:30Z,1047.39,1025.38,22.00999999999999
2025-03-14T12:13:50Z,982.8,1049.56,66.75999999999999
2025-03-14T12:14:00Z,1031.1,982.8,48.299999999999955
2025-03-14T12:14:20Z,1007.55,1038.82,31.269999999999982
2025-03-14T12:14:30Z,1029.43,1007.55,21.88000000000011
2025-03-14T12:14:40Z,1049.71,1029.43,20.279999999999973
2025-03-14T12:14:50Z,982.61,1049.71,67.10000000000002
2025-03-14T12:15:00Z,1022.17,982.61,39.559999999999945
2025-03-14T12:15:30Z,1011.37,1029.4,18.030000000000086
2025-03-14T12:15:40Z,990.59,1011.37,20.779999999999973
2025-03-14T12:16:10Z,1041.34,1000.44,40.899999999999864
2025-03-14T12:16:20Z,1004.01,1041.34,37.32999999999993
2025-03-14T12:16:30Z,1048.39,1004.01,44.38000000000011
2025-03-14T12:16:40Z,1014.82,1048.39,33.57000000000005
2025-03-14T12:16:50Z,1049.75,1014.82,34.92999999999995
2025-03-14T12:17:00Z,1024.82,1049.75,24.930000000000064
2025-03-14T12:17:20Z,986.29,1026.57,40.27999999999997
2025-03-14T12:17:40Z,1034.05,988.92,45.129999999999995
2025-03-14T12:17:50Z,992.44,1034.05,41.6099999999999
2025-03-14T12:18:10Z,1045.73,982.7,63.02999999999997
2025-03-14T12:18:20Z,1023.58,1045.73,22.149999999999977
2025-03-14T12:18:30Z,1011.52,1023.58,12.06000000000006
2025-03-14T12:19:00Z,984.78,1020.29,35.50999999999999
2025-03-14T12:19:10Z,1019.18,984.78,34.39999999999998
2025-03-14T12:19:30Z,1009.08,1024.45,15.370000000000005
2025-03-14T12:19:50Z,981.03,1006.56,25.529999999999973
2025-03-14T12:20:10Z,1027.25,990.69,36.559999999999945
2025-03-14T12:20:20Z,996.5,1027.25,30.75
2025-03-14T12:20:30Z,983.57,996.5,12.92999999999995
2025-03-14T12:20:40Z,1026.39,983.57,42.82000000000005
2025-03-14T12:20:50Z,1002.95,1026.39,23.440000000000055
2025-03-14T12:21:10Z,1026.57,999.35,27.219999999999914
2025-03-14T12:21:20Z,995.73,1026.57,30.839999999999918
2025-03-14T12:21:30Z,1019.38,995.73,23.649999999999977
2025-03-14T12:21:40Z,1041.65,1019.38,22.270000000000095
2025-03-14T12:21:50Z,983.2,1041.65,58.450000000000045
2025-03-14T12:22:00Z,998.36,983.2,15.159999999999968
2025-03-14T12:22:10Z,1038.11,998.36,39.749999999999886
2025-03-14T12:22:30Z,982.67,1037.09,54.41999999999996
2025-03-14T12:22:40Z,994.87,982.67,12.200000000000045
2025-03-14T12:23:00Z,1004.66,991.89,12.769999999999982
2025-03-14T12:23:10Z,993.41,1004.66,11.25
2025-03-14T12:23:20Z,1007.9,993.41,14.490000000000009
2025-03-14T12:23:30Z,1040.26,1007.9,32.360000000000014
